group,wh_word,item,q_type,sound_file,a_type,context,dice,interlocutor,tu_dices,target,pregunta,option1,option2,option3,answer
B,quién,4,RQ-,f_quien_4_RQ-,domain complement,"Tu hermana se va a casar y quiere saber a quién de la familia debería o no debería invitar. Tu prima Amelia no se lleva bien con nadie y nadie quiere hablar con ella, ya que en la última boda se emborrachó y les robó los zapatos a todos los invitados. Tu hermana decide no invitar a Amelia pero el día de su boda, Amelia está allí. Sabiendo que Amelia les cae mal a todos los invitados, tu hermana se extraña de verla ahí y piensa que alguien tuvo que haberla invitado.",Tu hermana dice:,"""Amelia se enteró de la fiesta. Alguien de la familia tuvo que haberla invitado.""",Tú dices:,"""Es muy poco probable. ¿Quién le hablaría a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le hablaría a Amelia.,Crees que nadie le hablaría a Amelia.,Ya sabes quién es la persona que hablaría a Amelia.,option2
C,quién,4,RQ+,m_quien_4_RQplus,unique referent,"Tú y tus colegas quieren convencer a tu jefa, Amelia, que sería una buena idea tener clases de yoga gratis en la oficina. No es fácil convencer a Amelia, pero todo el mundo sabe que ella y Alejandra son muy buenas amigas. Alejandra también parece estar de acuerdo con la idea de las clases de yoga y podría convencerla. Un compañero tuyo se siente escéptico al respecto, pero tú sabes que Alejandra podría hablar con Amelia.",Tu compañero dice:,"""No sé cómo vamos a convencer a Amelia.""",Tú dices:,"""No te rindas tan facilmente. Todavía tenemos una posibilidad. ¿Quién le hablaría a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le hablaría a Amelia.,Crees que nadie le hablaría a Amelia.,Ya sabes quién es la persona que hablaría a Amelia.,option3
C,quién,5,ISQ,f_quien_5_ISQ,mention-all,"Eres profesora y una de tus alumnas, Ivana, estuvo enferma por un tiempo. Cuando vuelve a la escuela, necesita ayuda con la tarea. Quieres asignarle un tutor para cada tarde de esta semana. Juanita se ofrece a ayudar, pero quieres ver si hay otra gente que está disponible también.",Juanita dice:,"""Yo puedo ayudarla.""",Tú dices:,"""Primero, me gustaría ver cuanta gente puede ayudarla. ¿Quién ayudaría a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién ayudaría a Ivana.,Crees que nadie ayudaría a Ivana.,Ya sabes quién es la persona que ayudaría a Ivana.,option1
A,quién,5,RQ-,m_quien_5_RQ-,domain complement,"Ivana es notoriamente egoísta. Siempre acepta ayuda de los demás pero cuando le toca ayudar a alguien, no se puede contar con ella. Acabas de enterarte que hace poco Ivana tuvo un accidente y ahora está en el hospital. No tiene a nadie que saque a su perro a caminar y ella se queja de esto en Facebook. Cuando Juan ve su post, tu le sugieres que eso es de esperarse porque nadie la quiere ayudar.",Juan dice:,"""Ella dice que no tiene a nadie que la ayude.""",Tú dices:,"""¡Claro! ¿Quién ayudaría a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién ayudaría a Ivana.,Crees que nadie ayudaría a Ivana.,Ya sabes quién es la persona que ayudaría a Ivana.,option2
B,quién,5,RQ+,f_quien_5_RQplus,unique referent,"Dos alumnos tuyos, Ivana y Ana, tuvieron un accidente y ahora están en el hospital. El año escolar sigue y estar al tanto con las clases resulta ser muy difícil. Entonces hablas con tus colegas de la posibilidad que Ivana y Ana dejen de ir a la escuela por un año (para recuperarse). La asignatura más difícil es matemáticas, pero la gemela de Ivana, Ivona, tiene un talento excepcional en esta asignatura y podría ayudar a las dos chicas si deciden continuar en el año escolar. Cuando la profesora de matemáticas, Olivia, dice que está preocupada por el aprendizaje de Ivana, tú le dices que no hay problema porque es obvio que su hermana Ivona la va a ayudar.",Olivia dice:,"""Si las chicas deciden seguir con el año escolar, ¿crees que Ivana va a recibir todo el apoyo que necesita?""",Tú dices:,"""¡Claro! Piénsalo. ¿Quién ayudaría a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién ayudaría a Ivana.,Crees que nadie ayudaría a Ivana.,Ya sabes quién es la persona que ayudaría a Ivana.,option3
B,quién,6,ISQ,m_quien_6_ISQ,mention-all,"Eres profesor y le quieres enseñar a tu clase algo sobre la ingenuidad. Manuela, una alumna, se ofrece para el experimento. Tú quieres saber cuántas personas le creerían a Manuela si ella se les acercara en la calle y les pidiera dinero. Dante te pide que expliques bien el experimento.",Dante dice:,"""¿En qué situación encontramos a Manuela?""",Tú dices:,"""Imagina que no la conoces y ella se te acerca por la calle mientras lleva el uniforme de una escuela. Te dice que le robaron el bolsillo y el celular y necesita dinero para volver a casa. Levanten la mano. ¿Quién le creería a Manuela?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le creería a Manuela.,Crees que nadie le creería a Manuela.,Ya sabes quién es la persona que le creería a Manuela.,option1
C,quién,6,RQ-,f_quien_6_RQ-,domain complement,"Manuela es notablemente mentirosa y, por supuesto, nadie cree las cosas que dice. Liliana te cuenta que Manuela está ahora alegando tener una carrera en medicina. Esto era claramente una mentira y Liliana está preocupada que la gente vaya a creerle a Manuela. Sin embargo, tú sugieres que no es gran problema porque todos saben que ella tiende a mentir.",Liliana dice:,"""Lo que Manuela está haciendo es peligroso. La gente creerá que ella es médico, pero no lo es.""",Tú dices:,"""No te preocupes, no hay ningún problema. ¿Quién le creería a Manuela?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le creería a Manuela.,Crees que nadie le creería a Manuela.,Ya sabes quién es la persona que le creería a Manuela.,option2
A,quién,6,RQ+,m_quien_6_RQplus,unique referent,"Manuela quiere reclutar personas para su estafa piramidal. Es algo que se debería evitar, pero hay gente que le creyó y se unió. Una de estas personas es tu colega Miguel, que es notoriamente ingenuo. Cuando tu otro colega, Emilio, se entera que Manuela logró convencer a alguien de tu oficina, le sugieres que será Miguel porque nadie es tan ingenuo como él.",Emilio dice:,"""Sé que alguien de nuestra oficina es parte de la estafa piramidal de Manuela pero no sé quién es.""",Tú dices:,"""Sólo puede ser una persona. ¿Quién le creería a Manuela?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le creería a Manuela.,Crees que nadie le creería a Manuela.,Ya sabes quién es la persona que le creería a Manuela.,option3
A,quién,7,ISQ,f_quien_7_ISQ,unique referent,"Laureana es una chica de tu clase de matemáticas. Ella es muy enfermiza y falta a clase constantemente, unas dos o tres veces a la semana. Sin embargo, esta vez Laureana lleva sin ir a clase casi dos semanas seguidas. La profesora está preocupada por ella y le pregunta a los alumnos si alguien podría comunicarse con ella, saludarla y preguntarle si está bien. Al día siguiente la directora de la escuela informa que Laureana se comunicó a la escuela diciendo que recibió el recado de la profesora y que regresará pronto a clases. La profesora se pregunta quién habrá preguntado a Laureana si estaba bien.",La directora dice:,"""Laureana se comunicó conmigo ayer. Dice que recibió su recado y que regresará pronto a la escuela.""",Tú dices:,"""No sé quién le dio el mensaje. ¿Quién le preguntaría a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le preguntaría a Laureana.,Crees que nadie le preguntaría a Laureana.,Ya sabes quién es la persona que le preguntaría a Laureana.,option1
B,quién,7,RQ-,f_quien_7_RQ-,domain complement,"Laureana es una chica muy reservada de tu clase que no habla mucho con otra gente y, en general, otros alumnos tienden a ignorarla. Un día, en tu clase de biología, la profesora les pide que entreguen un trabajo obligatoriamente en equipo para la siguiente sesión. Tu formas equipo con tu amigo Alfonso, y todos los demás alumnos forman los suyos, excepto Laureana, quien se queda sola y decide hacer el trabajo por su cuenta. En la siguiente sesión, al recoger los trabajos de los alumnos, tu profesora se da cuenta de que Laureana no tiene equipo y lo ha hecho sola, por lo que no puede recibirle la tarea. Tu amiga Ana sabe que tú eres muy empático y social, y expresa que ella asumía que tú, siendo tan sociable, habrías de preguntarle a Laureana si ya tenía equipo. Tú te excusas contestando que era poco probable que cualquier persona le preguntara a Laureana si ya estaba en un equipo.",Ana dice:,"""Yo pensé que le habías preguntado a Laureana si tenía equipo. De otra manera, la hubiéramos invitado al nuestro.""",Tú dices:,"""Por supuesto que no le pregunté. ¿Quién le preguntaría a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le preguntaría a Laureana.,Crees que nadie le preguntaría a Laureana.,Ya sabes quién es la persona que le preguntaría a Laureana.,option2
C,quién,7,RQ+,m_quien_7_RQplus,unique referent,"Laureana, Alfonsina, Miguel y tú son muy buenos y cercanos amigos. Siempre hacen equipo para los trabajos de la escuela. Un día, la profesora de biología les pide hacer un trabajo en parejas para la siguiente semana. Miguel te manda un mensaje a ti y a Alfonsina preguntando quién quiere estar en su equipo y tú le contestas que quisieras ser su pareja. En la siguiente sesión, mientras Miguel y tú entregan su trabajo, Miguel se da cuenta de que se olvidó preguntarle a Laureana si ella tenía equipo. No obstante, la profesora felicita al grupo porque todos entregaron sus tareas. Miguel se queda pensando quién le habría preguntado a Laureana si tenía equipo, pero tú le dices que es obvio quién le preguntó.",Miguel dice:,"""Se me olvidó ver si Laureana tenía equipo pero de alguna forma logró conseguir uno. Me pregunto cómo….""",Tú dices:,"""Hay sólo una posibilidad. ¿Quién le preguntaría a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le preguntaría a Laureana.,Crees que nadie le preguntaría a Laureana.,Ya sabes quién es la persona que le preguntaría a Laureana.,option3
C,quién,8,ISQ,m_quien_8_ISQ,unique referent,"Leonora es una famosa política, gobernadora de una provincia de su país. Hace unos días, un noticiero de televisión difundió un documento anónimo que difamaba a Leonora, revelando cierta información controversial sobre su mandato como gobernadora. Leonora tiene diversos enemigos políticos dentro y fuera de su partido, y se preguntan quién de ellos podría haber mandado el documento que difamó a Leonora.",Juan dice:,"""¿Ya viste que alguien difamó a Leonora?, pero de entre tantos enemigos que tiene...""",Tú dices:,"""Sé que ya tiene muchos enemigos y escuché algo sobre el incidente pero no sé mucho. ¿Quién difamaría a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién difamaría a Leonora.,Crees que nadie difamaría a Leonora.,Ya sabes quién es la persona que difamaría a Leonora.,option1
A,quién,8,RQ-,f_quien_8_RQ-,domain complement,"Leonora es una famosa política, gobernadora de una provincia de su país. Hace unos días, un noticiero de televisión difundió un documento anónimo que difamaba a Leonora, revelando cierta información controversial sobre su mandato como gobernadora. Tu hermana y tú saben que Leonora es muy querida por la población de la provincia y hasta los partidos opositores la estiman y respetan su mandato. A tu hermana y a ti les extraña esta noticia, pues no pueden pensar en alguien que quiera quitarle la reputación como gobernadora a Leonora.",Tu hermana dice:,"""Es muy raro que alguien haya mandado un documento así.""",Tú dices:,"""Estoy de acuerdo. ¿Quién difamaría a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién difamaría a Leonora.,Crees que nadie difamaría a Leonora.,Ya sabes quién es la persona que difamaría a Leonora.,option2
B,quién,8,RQ+,f_quien_8_RQplus,unique referent,"Leonora es una famosa política, gobernadora de una provincia de su país. Hace unos días, un noticiero de televisión difundió un documento anónimo que difamaba a Leonora, revelando cierta información controversial sobre su mandato como gobernadora. Tu amiga Juana y tú saben que Leonora es en general muy querida en la provincia, pero tiene cierta enemistad con el partido político opositor, quien en el pasado ha querido desacreditar el mandato de Leonora haciendo pública información controversial sobre la gobernadora. Tu amiga Juana te pregunta quién podría haber enviado ese documento anónimo a la televisión si Leonora es muy estimada por la población. Tú, que sabes que los únicos que tienen enemistad con Leonora son los del partido contrario sabes que la respuesta es obviamente el líder de la oposición.",Juana dice:,"""Me pregunto quién habrá enviado el documento a la televisión.""",Tú dices:,"""Eso es obvio. ¿Quién difamaría a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién difamaría a Leonora.,Crees que nadie difamaría a Leonora.,Ya sabes quién es la persona que difamaría a Leonora.,option3
B,qué,9,ISQ,f_que_9_ISQ,mention-all,"Lorena es tu jefa. Acaba de tener un accidente con el coche y tus colegas le quieren mandar un regalito al hospital. No sabes si quieres ser parte del regalo porque no tienes una buena relación con ella. Pero todavía no has decidido si vas a participar, y tienes mucha curiosidad, quieres saber qué le van a mandar tus colegas. Cuando tu colega Rafaela te habla del regalo, tú pides más detalles.",Rafaela dice:,"""Casi todos van a contribuir.""",Tú dices:,"""No estoy segura si voy a participar. ¿Qué le enviarían a Lorena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le enviarían a Lorena.,Crees que nadie participe en el regalo para Lorena.,Ya sabes qué le enviarían a Lorena.,option1
C,qué,9,RQ-,m_que_9_RQ-,domain complement,Los hijos de Juan y Lorena se fueron de vacaciones y van a estar fuera del país durante el cumpleaños de Lorena. Juan espera que sus hijos le manden algo a su esposa para el cumple pero resulta que les robaron todo a los hijos y ahora se encuentran sin dinero. Lorena entonces no va a recibir nada para su cumpleaños. Cuando Juan te cuenta el asunto te dice que esto es inadmisible pero tú le dices que es comprensible dada la situación en que se encuentran sus hijos.,Juan dice:,"""Lorena no recibirá regalo de cumpleaños, ¿Es que sus hijos no le enviarán nada?""",Tú dices:,"""¡No tienen dinero! ¿Qué le enviarían a Lorena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le enviarían a Lorena.,Crees que no le enviarían nada a Lorena.,Ya sabes qué le enviarían a Lorena.,option2
A,qué,9,RQ+,f_que_9_RQplus,unique referent,"Tu colega Lorena se va a jubilar y todos los colegas quieren comprar y enviarle un regalo. A Lorena le gustan mucho las orquídeas. De hecho su oficina está llena de todos tipos de orquídeas. Tu otra colega Pilar llega tarde a la oficina ese día y se entera de la recolecta de dinero para el regalo de Lorena pero no sabe qué le van a comprar. Cuando Pilar te pregunta, tú le sugieres que la respuesta es obvia.",Pilar dice:,"""Veo que hay una recolecta para el regalo de Lorena pero ¿qué le vamos a enviar?""",Tú dices:,"""¡Todo el mundo conoce su obsesión! ¿Qué le enviarían a Lorena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le enviarían a Lorena.,Crees que no le enviarían nada a Lorena.,Ya sabes qué le enviarían a Lorena.,option3
A,qué,10,ISQ,m_que_10_ISQ,mention all/some,"Un día durante el recreo de la escuela, tu amiga Mariana llega corriendo súper contenta. Ustedes le preguntan por qué está tan feliz y ella les contesta que su pareja le ha dado un regalo muy bonito. Justo después, se va corriendo y gritando de felicidad y los deja (a ti y a tus amigos) estupefactos. Uno de tus amigos comenta que ha de haber recibido algo que le gustó mucho. A ti te da mucha curiosidad saber qué regalo habrían podido darle a Mariana y le preguntas a tus amigos.",Tu amigo dice:,"""¡Wow! ¡Parece que su pareja la conoce bien si le dio un regalo que la hizo tan feliz!""",Tú dices:,"""Sí, parece estar muy feliz. ¿Qué le darían a Mariana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le darían a Mariana.,Crees que no le darían nada a Mariana.,Ya sabes qué le darían a Mariana.,option1
B,qué,10,RQ-,f_que_10_RQ-,domain complement,"Tu amiga Mariana trabaja en una empresa pequeña y acaban de anunciar que ella es la empleada del mes. Desafortunadamente, esta empresa pronto va a quedar en bancarrota. Así que cuando Ana te pregunta cuál será el premio para Mariana, tú le sugieres que probablemente ella no va a recibir nada por causa de la bancarrota.",Ana dice:,"""Espero que Mariana reciba un premio muy lindo. Ha trabajado mucho.""",Tú dices:,"""Pero la empresa va a quedar en bancarrota. ¿Qué le darían a Mariana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le darían a Mariana.,Crees que no le darían nada a Mariana.,Ya sabes qué le darían a Mariana.,option2
C,qué,10,RQ+,m_que_10_RQplus,unique referent,Tu amiga Mariana trabaja en una empresa de automóviles. Acaban de anunciar que ella es la empleada del año. Todo el mundo sabe que el/la empleado/a del año recibe un coche de premio. Juan se entera de que Mariana recibió algún tipo de reconocimiento y te pregunta qué podría darle la empresa de premio. Tu le sugieres que es obvio qué premio recibiría.,Juan dice:,"""Qué bien que reconocieron el trabajo de Mariana. ¿Va a recibir algo?""",Tú dices:,"""¡Es la empleada del año! ¿Qué le darían a Mariana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le darían a Mariana.,Crees que no le darían nada a Mariana.,Ya sabes qué le darían a Mariana.,option3
C,qué,11,ISQ,f_que_11_ISQ,n/a,"Estás almorzando con tus colegas de trabajo y empiezan a hablar de sueldos. Te das cuenta que tus colegas que acaban de empezar a trabajar con la empresa y no tienen mucha experiencia reciben un sueldo más bajo que los colegas que tienen mucha experiencia y llevan muchos años con la misma empresa. Maya es una colega nueva que acaba de empezar con esta empresa pero tiene muchos años de experiencia con otras. Por esta razón, tus compañeros de trabajo y tú concuerdan que Maya seguramente recibe otra compesación además de su pago normal, pero no saben qué.",Tu compañera dice:,"""Yo creo que a Maya le pagan algo además de su salario normal.""",Tú dices:,"""Concuerdo, pero nadie sabe qué más recibe. ¿Qué le pagarían a Maya?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le pagarían a Maya.,Crees que no le pagarían nada a Maya.,Ya sabes qué le pagarán a Maya.,option1
A,qué,11,RQ-,f_que_11_RQ-,domain complement,Maya empieza a trabajar como voluntaria en una organización de beneficencia. Juana cree que Maya recibe un sueldo pero tú crees que a ella no le pagan nada porque es voluntaria.,Juana dice:,"""Debe de recibir algo por el trabajo que hace.""",Tú dices:,"""¡Pero si es voluntaria! ¿Qué le pagarían a Maya?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le pagarían a Maya.,Crees que no le pagarían nada a Maya.,Ya sabes qué le pagarán a Maya.,option2
B,qué,11,RQ+,m_que_11_RQplus,unique referent,"Maya va a ir a un congreso pero su departamento no tiene muchos recursos: pueden cubrir los boletos o alojamiento. Le toca al departamento decidir cuál de los dos costos van a cubrir y, como son muy codiciosos, siempre eligen cubrir el monto más bajo. El vuelo le costó $1000 y el alojamiento $300. Un colega, Roberto, se pregunta cuál de los dos montos le irán a pagar a Maya. Tú le sugieres que es obvio qué le pagarán.",Roberto dice:,"""Maya está pidiendo un reembolso de los gastos del congreso. Me pregunto cuál de los dos le van a devolver: el vuelo o el alojamiento.""",Tú dices:,"""Si el vuelo le costó $1000 y el alojamiento $300…….¿Qué le pagarían a Maya?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le pagarían a Maya.,Crees que no le pagarían nada a Maya.,Ya sabes qué le pagarán a Maya.,option3
B,qué,12,ISQ,m_que_12_ISQ,unique referent,"Linda y Miguel tomaron prestado el coche de Melania y se averió. No quieren decirle nada a Melania así que deciden llevar el coche con tu amigo Carlos, que es mecánico, para que lo arregle. Carlos te comenta que las reparaciones tardarán mucho tiempo, pero que Linda y Miguel le dieron una excusa a Melania para que no les pidiera el coche pronto. Tú le preguntas a tu amigo Rodrigo qué le podrían haber dicho a Melania para mantenerla calmada.",Rodrigo dice:,"""El coche tardará en ser reparado, pero Linda y Miguel le dijeron algo a Melania para no preocuparla.""",Tú dices:,"""Pero eso toma mucho tiempo. Espero que se les haya ocurrido una buena historia. ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option1
C,qué,12,RQ-,f_que_12_RQ-,domain complement,"Melania es una doctora que tenía turno en la sala de emergencias hoy. En su turno anterior, estuvo en la sala de operación por mucho tiempo y, aunque se pasó de las horas de su turno, pudo salvar la vida de un paciente. Justo después, se durmió y no pudo levantarse a tiempo para el turno siguiente. Llegó tarde a la sala de emergencia pero nadie le dijo nada porque su operación salió exitosa. Un enfermero muestra preocupación por lo que le dirían a Melania por llegar tarde, pero tú le sugieres que no le dirán nada.",La enfermera dice:,"""Melania llegó tarde para su turno. Espero que el jefe no se enoje.""",Tú dices:,"""¿Después de esa operación tan exitosa? ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option2
A,qué,12,RQ+,f_que_12_RQplus,unique referent,Melania es enfermera en un hospital y siempre llega tarde al trabajo. Esto causa muchos problemas porque los pacientes tienen que esperar muchísimo tiempo. Sus jefes quieren tener una reunión con ella. Nadie sabe la razón oficial pero todo el mundo sospecha que quieren hablar de su tardanza.,Tu colega dice:,"""Melania tiene reunión con los jefes. Me pregunto de qué van a hablar.""",Tú dices:,"""No hubo ni un solo día el mes pasado en que llegó a tiempo al trabajo ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option3
A,qué,13,ISQ,f_que_13_ISQ,mention-some,Tu hija Ramona tiene 5 años y fue testigo de un crimen. La policía quiere hacerle unas preguntas. Quieres ayudar a la policía pero Ramona es tan joven así que quieres saber qué le van a preguntar.,Una policía dice:,"""Nos gustaría tener a Ramona en la sala durante el proceso judicial.""",Tú dices:,"""Esto me preocupa un poco. ¿Qué le preguntarían a Ramona?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le preguntarían a Ramona.,Crees que no le preguntarían nada a Ramona.,Ya sabes qué le preguntarían a Ramona.,option1
